#n_customers=5
C101	OPTIMAL	    50	1	[[0, 3, 4, 2, 1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C102	OPTIMAL	    50	3	[[0, 1, 2, 4, 3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C103	OPTIMAL	    50	2	[[0, 1, 2, 4, 3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C104	OPTIMAL	    50	4	[[0, 1, 2, 4, 3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C105	OPTIMAL	    50	1	[[0, 3, 4, 2, 1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C106	OPTIMAL	    50	1	[[0, 3, 4, 2, 1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C107	OPTIMAL	    50	1	[[0, 3, 4, 2, 1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C108	OPTIMAL	    50	2	[[0, 3, 4, 1, 2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C109	OPTIMAL	    50	2	[[0, 3, 2, 1, 4], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]

#n_customers=10
C101	FEASIBLE	   142	30000	[[0, 1], [0, 3, 7, 8, 9, 6, 4, 2], [0, 5], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C102	FEASIBLE	    68	30000	[[0, 1, 2, 3, 8, 9, 6, 4, 5, 7], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C103	FEASIBLE	    68	30000	[[0, 1, 2, 3, 8, 9, 6, 4, 5, 7], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C104	FEASIBLE	    68	30000	[[0, 1, 2, 3, 8, 9, 6, 4, 5, 7], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C105	FEASIBLE	   110	30000	[[0, 1], [0, 3, 5, 7, 8, 9, 6, 4, 2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C106	FEASIBLE	   142	30000	[[0, 1], [0, 3, 7, 8, 9, 6, 4, 2], [0, 5], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C107	FEASIBLE	   110	30000	[[0, 1], [0, 3, 5, 7, 8, 9, 6, 4, 2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C108	FEASIBLE	   102	30000	[[0, 1, 2], [0, 5, 3, 7, 8, 9, 6, 4], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
C109	FEASIBLE	   102	30000	[[0, 1, 2], [0, 5, 3, 7, 8, 9, 6, 4], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]

#n_customers=15
