Instance   | Time(s)    | Obj Val    | Valid | Routes
------------------------------------------------------------------------------------------------------------------------
testcases\C101.txt| 9.4374     | 238.00     | OK    | [[0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 5, 3, 7, 8, 4, 2, 1, 0], [0, 20, 10, 11, 9, 6, 0]]
testcases\C102.txt| 12.9055    | 208.00     | OK    | [[0, 13, 17, 18, 19, 15, 16, 14, 12, 5, 0], [0, 20, 8, 10, 11, 9, 6, 4, 1, 2, 3, 7, 0]]
testcases\C103.txt| 12.5600    | 188.00     | OK    | [[0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 20, 0]]
testcases\C104.txt| 12.8525    | 204.00     | OK    | [[0, 20, 7, 8, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0]]
testcases\C105.txt| 9.3862     | 238.00     | OK    | [[0, 20, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 5, 3, 7, 8, 0]]
testcases\C106.txt| 9.3297     | 238.00     | OK    | [[0, 20, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 5, 3, 7, 8, 0]]
testcases\C107.txt| 9.4060     | 238.00     | OK    | [[0, 20, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 5, 3, 7, 8, 0]]
testcases\C108.txt| 10.1067    | 212.00     | OK    | [[0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 20, 0]]
testcases\C109.txt| 10.4737    | 220.00     | OK    | [[0, 10, 11, 8, 9, 6, 2, 1, 4, 0], [0, 20, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 5, 3, 7, 0]]
