Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 8.8882   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C102.txt        | OPTIMAL    | 30.8896  | 188.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13...
C103.txt        | FEASIBLE   | 30.6256  | 188.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13...
C104.txt        | FEASIBLE   | 30.9343  | 184.00     | OK     | [[0, 7, 8, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 17...
C105.txt        | OPTIMAL    | 5.9214   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C106.txt        | OPTIMAL    | 5.3688   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C107.txt        | OPTIMAL    | 14.2704  | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C108.txt        | OPTIMAL    | 25.1451  | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C109.txt        | FEASIBLE   | 30.5905  | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...

Done! Total time: 182.75s
