Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 0.0708   | 178.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C102.txt        | OPTIMAL    | 0.0704   | 174.00     | OK     | [[0, 8, 10, 11, 9, 6, 4, 3, 5, 0], [0, 13, 14, 12,...
C103.txt        | OPTIMAL    | 0.0707   | 168.00     | OK     | [[0, 7, 8, 9, 6, 0], [0, 13, 14, 12, 10, 11, 2, 1,...
C104.txt        | OPTIMAL    | 0.0656   | 164.00     | OK     | [[0, 8, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 14, 12, 1...
C105.txt        | OPTIMAL    | 0.0273   | 178.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 0], [0, 13, 14, ...
C106.txt        | OPTIMAL    | 0.0212   | 178.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 0], [0, 13, 14, ...
C107.txt        | OPTIMAL    | 0.0284   | 178.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 0], [0, 13, 14, 12, 6,...
C108.txt        | OPTIMAL    | 0.0447   | 172.00     | OK     | [[0, 5, 3, 7, 10, 11, 4, 1, 2, 0], [0, 8, 13, 14, ...
C109.txt        | OPTIMAL    | 0.1108   | 162.00     | OK     | [[0, 7, 3, 5, 0], [0, 8, 10, 13, 14, 12, 11, 9, 6,...

Done! Total time: 3.30s
